id,calories,proteins,fat,carbohydrate,name,image,recipe
474,188.0,19.3,12.2,0.0,Ikan Mas goreng,https://cdn1-production-images-kly.akamaized.net/PoXdFBAzit7rJj6MDEQSxQ35dT8=/0x462:5162x3371/1200x675/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/2930376/original/062217400_1570175183-shutterstock_445394449.jpg,https://cookpad.com/id/resep/22667668-ikan-mas-goreng?ref=search&search_term=ikan%20mas%20goreng
475,209.0,15.2,11.3,11.8,Ikan Mas pepes,https://assets.pikiran-rakyat.com/crop/0x0:0x0/x/photo/2022/01/06/1877204615.jpg,https://cookpad.com/id/resep/17245589-pepes-ikan-mas?ref=search&search_term=ikan%20mas%20pepes
477,598.0,74.3,26.9,9.2,Ikan Mujair dendeng goreng,https://img-global.cpcdn.com/recipes/c49ebd05c391ae54/680x482cq70/dendeng-mujair-foto-resep-utama.jpg,https://cookpad.com/id/resep/13592665-dendeng-mujair
479,416.0,46.9,23.9,0.0,Ikan Mujair goreng,https://kurio-img.kurioapps.com/22/10/07/3521e216-d7b3-498d-a045-95973e196c36.jpg,https://cookpad.com/id/resep/22667434-ikan-goreng-mujair-bumbu-kuning?ref=search&search_term=mujair%20goreng
480,121.0,21.7,2.8,0.8,Ikan Mujair pepes,https://sweetrip.id/wp-content/uploads/2022/10/a-pepeas.jpg,https://cookpad.com/id/resep/17196528-pepes-ikan-mujair?ref=search&search_term=mujair%20pepes
484,152.0,17.6,6.1,6.7,Ikan Papuyu bakar,https://img-global.cpcdn.com/recipes/c0df8c1401aba288/1200x630cq70/photo.jpg,https://cookpad.com/id/resep/14555364-ikan-papuyu-bakar?ref=search&search_term=Ikan%20Papuyu%20bakar
486,144.0,17.5,6.3,4.3,Ikan Patin bakar,https://awsimages.detik.net.id/community/media/visual/2022/05/16/resep-ikan-patin-bakar-bumbu-kecap-pedas_43.jpeg?w=1200,https://cookpad.com/id/resep/22562153-ikan-patin-bakar-ala-banjarmasin?ref=search&search_term=Ikan%20Patin%20bakar
498,240.0,21.7,7.7,20.7,Ikan sanggang masakan,https://img-global.cpcdn.com/recipes/fafa134ca5a95acb/680x482cq70/ikan-bakar-kelabau-ala-mamak-tya-foto-resep-utama.jpg,https://cookpad.com/id/resep/16492002-ikan-bakar-kecap-bawang-pedas-simple?ref=search&search_term=Ikan%20sanggang%20bakar
526,474.0,7.6,21.6,62.3,Intip goreng,https://img-global.cpcdn.com/recipes/4dece0e171a7ee52/1200x630cq70/photo.jpg,https://cookpad.com/id/resep/16004686-19-intip-goreng-kriuk-bawang-uyah?ref=search&search_term=Intip%20goreng
528,156.0,2.7,1.3,33.3,Jagung grontol,https://img-global.cpcdn.com/recipes/763fb46246f99eb2/680x482cq70/grontol-jagung-foto-resep-utama.jpg,https://cookpad.com/id/resep/17079255-grontol-jagung?ref=search&search_term=Jagung%20grontol
573,381.7,9.5,9.5,65.8,Jenang ,https://cdn.idntimes.com/content-images/community/2022/01/fromandroid-fbaa0f050bd3678e2e78518c3020f9f9_600x400.jpg,https://cookpad.com/id/resep/5231575-dodol-ketanjenang-ketan-gula-merah
583,15.0,15.2,4.3,8.8,Jukku pallu kaloa masakan,"https://blue.kumparan.com/image/upload/fl_progressive,fl_lossy,c_fill,q_auto:best,f_jpg,w_480/bj0crytdzulie8ypcyxz.jpg",https://resepkoki.id/resep/resep-pallu-basa/
650,513.0,17.5,32.5,44.3,Kacang Tanah rempeyek,https://img.okezone.com/content/2020/06/15/298/2230610/resep-peyek-kacang-tanah-dan-udang-rebon-renyah-bikin-terus-ngunyah-3j0ZqjZUGs.jpg,https://cookpad.com/id/resep/22664049-rempeyek-kacang?ref=search&search_term=rempeyek%20kacang
654,748.0,20.8,20.8,124.8,Kacang Telur ,https://img-global.cpcdn.com/recipes/18de1fa4c4094900/400x400cq70/photo.jpg,https://cookpad.com/id/resep/17317566-kacang-telur-renyah-dan-mudah?ref=search&search_term=kacang%20telur
659,451.0,11.2,20.2,59.7,Kacang Tunggak rempeyek,https://img-global.cpcdn.com/recipes/dc9828ce49f235aa/680x482cq70/peyek-kacang-tunggaktemas-foto-resep-utama.jpg,https://cookpad.com/id/resep/17140358-peyek-kacang-tolokacang-tunggak?ref=search&search_term=Kacang%20Tunggak%20rempeyek
664,413.0,28.7,19.8,29.8,Kaholeo masakan,https://img-global.cpcdn.com/recipes/e82d99f1eb64c14b/680x482cq70/ikan-teri-kaholeo-masak-asam-khas-buton-sulawesi-foto-resep-utama.jpg,https://cookpad.com/id/resep/3187327-ikan-teri-kaholeo-masak-asam-khas-buton-sulawesi
667,163.0,16.5,9.0,4.1,Kalio jeroan masakan,https://img-global.cpcdn.com/recipes/2031e463b74f84a0/1200x630cq70/photo.jpg,https://cookpad.com/id/resep/17266508-kalio-hati-dan-paru-sapi?ref=search&search_term=Kalio%20jeroan
668,122.0,13.8,5.7,3.9,Kalio kikil (tunjang) masakan,https://asset.kompas.com/crops/mqYtGN3S_jZncBl0Ug8aj0WNS0E=/0x0:1000x667/750x500/data/photo/2021/03/01/603c964830992.jpg,https://cookpad.com/id/recipe/images/46bd4ee5f2710992
669,157.0,8.1,8.8,11.4,Kalio otak masakan,https://asset-a.grid.id/crop/0x0:0x0/700x465/photo/sasefoto/original/32036_kalio-otak.JPG,https://www.topwisata.info/2023/09/resep-gulai-otak-sapi-khas-minang-yang-autentik-dan-dijamin-rasanya-sedap.html
670,193.0,10.6,12.4,9.7,Kalio telur masakan,https://img-global.cpcdn.com/recipes/642209af1316da73/680x482cq70/kalio-telur-foto-resep-utama.jpg,https://cookpad.com/id/resep/16249946-kalio-telur-sayur?ref=search&search_term=kalio%20telur
677,52.0,1.8,3.6,3.0,Kangkung tumis,https://scm-assets.constant.co/scm/unilever/e9dc924f238fa6cc29465942875fe8f0/17ea3056-4e78-4d25-bd54-cf3a9296188b.jpg,https://cookpad.com/id/resep/22677607-sayur-tumis-kangkung?ref=search&search_term=tumis%20kangkung
